time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-18T07:14:43.768Z,35.4717,139.8793,91.841,4.5,mb,45,144,1.725,0.61,us,us7000lzyx,2024-02-18T07:50:38.665Z,"10 km NNW of Kisarazu, Japan",earthquake,7.65,7.067,0.085,41,reviewed,us,us
2024-02-18T06:06:54.824Z,-15.3138,-175.1791,10,5.3,mww,44,58,3.572,1.26,us,us7000lzyu,2024-02-18T06:33:35.040Z,"164 km WNW of Hihifo, Tonga",earthquake,7.85,1.829,0.093,11,reviewed,us,us
2024-02-18T06:01:10.230Z,-58.6894,-23.1597,10,4.9,mb,50,88,8.59,0.67,us,us7000lzyt,2024-02-18T06:42:45.040Z,"South Sandwich Islands region",earthquake,11.43,1.879,0.078,52,reviewed,us,us
2024-02-18T04:41:13.092Z,26.2658,-110.7208,10,4.5,mb,45,167,1.717,1.16,us,us7000lzyk,2024-02-18T07:28:39.270Z,"68 km ENE of Loreto, Mexico",earthquake,7.15,1.931,0.068,67,reviewed,us,us
2024-02-18T04:32:21.762Z,-20.7767,-173.6006,10,5,mb,17,100,1.548,1.24,us,us7000lzyl,2024-02-18T04:55:29.040Z,"132 km SE of Pangai, Tonga",earthquake,5.79,1.909,0.146,15,reviewed,us,us
2024-02-18T04:09:09.991Z,-37.8925,176.3507,188.72,4.8,mb,31,73,0.691,0.86,us,us7000lzyd,2024-02-19T05:48:40.589Z,"15 km NE of Kaharoa, New Zealand",earthquake,6.38,6.424,0.113,27,reviewed,us,us
2024-02-18T00:01:26.171Z,17.1786,-100.0952,10,4.8,mb,69,201,1.509,0.93,us,us7000lzx9,2024-02-23T00:04:00.686Z,"4 km SSE of Tepetixtla, Mexico",earthquake,12.03,1.964,0.036,232,reviewed,us,us
2024-02-17T21:43:42.769Z,23.9304,123.6062,34.273,4.5,mwr,59,76,0.728,0.63,us,us7000lzwn,2024-02-17T22:18:50.040Z,"72 km SW of Ishigaki, Japan",earthquake,3.05,3.872,0.057,30,reviewed,us,us
2024-02-17T11:47:29.387Z,40.2091,142.3681,42.672,4.7,mb,94,143,1.151,0.48,us,us7000lzuz,2024-02-17T14:15:09.700Z,"48 km ENE of Noda, Japan",earthquake,6.46,6.394,0.053,108,reviewed,us,us
2024-02-17T10:51:38.009Z,-6.916,129.7063,160.652,4.5,mb,26,55,2.386,0.65,us,us7000lzuv,2024-02-17T11:08:48.040Z,"Banda Sea",earthquake,8.97,8.48,0.113,24,reviewed,us,us
2024-02-17T10:40:04.626Z,-33.2814,-178.9991,10,4.6,mb,16,114,4.112,0.8,us,us7000m0sx,2024-02-23T03:20:34.040Z,"south of the Kermadec Islands",earthquake,10.19,1.843,0.182,9,reviewed,us,us
2024-02-17T09:40:52.853Z,-17.5536,-173.6234,36.267,4.6,mb,22,66,3.824,1.33,us,us7000m0sw,2024-02-23T01:47:13.040Z,"127 km NNE of Neiafu, Tonga",earthquake,8.28,8.239,0.158,12,reviewed,us,us
2024-02-17T08:56:21.761Z,12.3359,-88.6805,46.078,4.5,mb,70,161,1.179,0.57,us,us7000lzuc,2024-02-17T09:37:41.040Z,"105 km S of Puerto El Triunfo, El Salvador",earthquake,7.12,9.012,0.071,58,reviewed,us,us
2024-02-17T06:33:35.901Z,44.4448,148.1989,69.452,4.7,mb,91,136,4.039,0.63,us,us7000lztx,2024-02-17T06:49:28.040Z,"90 km SSE of Kuril’sk, Russia",earthquake,9.19,7.059,0.063,76,reviewed,us,us
2024-02-17T06:32:54.215Z,28.958,-98.005,2.002,4.7,ml,28,69,0,0.2,tx,tx2024dijp,2024-02-22T06:23:40.128Z,"3 km SSE of Falls City, Texas",earthquake,1.0881905304870394,1.698161520570186,0.2,14,reviewed,tx,tx
2024-02-17T04:38:59.908Z,-5.4372,146.9662,210.454,4.5,mb,39,67,5.325,0.58,us,us7000lzte,2024-02-17T05:26:25.040Z,"132 km E of Madang, Papua New Guinea",earthquake,10.92,8.415,0.106,29,reviewed,us,us
2024-02-17T03:55:23.601Z,22.9482,93.8029,76.002,4.7,mb,49,138,2.018,0.94,us,us7000lzt8,2024-02-17T04:23:43.804Z,"13 km ENE of Falam, Myanmar",earthquake,9.29,8.216,0.082,45,reviewed,us,us
2024-02-17T03:06:44.632Z,2.5237,128.2153,77.049,4.5,mb,42,109,1.936,0.81,us,us7000lzt3,2024-02-17T05:03:13.040Z,"90 km NNE of Tobelo, Indonesia",earthquake,10.21,1.595,0.099,33,reviewed,us,us
2024-02-17T02:42:39.277Z,-19.7039,173.3931,10,4.9,mb,26,104,4.827,0.91,us,us7000lzt2,2024-02-17T03:00:56.040Z,"Vanuatu region",earthquake,11.53,1.89,0.132,20,reviewed,us,us
2024-02-16T22:30:13.289Z,23.7016,126.3783,10,4.7,mb,39,82,2.073,0.69,us,us7000lzrx,2024-02-16T22:59:42.040Z,"162 km SE of Miyakojima, Japan",earthquake,7.51,1.738,0.138,16,reviewed,us,us
2024-02-16T20:47:31.357Z,-18.0036,168.5207,170.584,5.2,mww,215,35,4.575,0.61,us,us7000lzqy,2024-02-17T18:37:04.567Z,"36 km SE of Port-Vila, Vanuatu",earthquake,8.93,2.489,0.053,34,reviewed,us,us
2024-02-16T19:41:03.774Z,8.6856,127.1093,10,4.5,mb,52,120,2.208,0.82,us,us7000lzqm,2024-02-17T15:48:39.040Z,"90 km E of Marihatag, Philippines",earthquake,9.2,1.838,0.084,45,reviewed,us,us
2024-02-16T19:27:04.223Z,36.2741,71.4524,111.492,4.6,mb,158,66,3.012,0.77,us,us7000lzqk,2024-02-16T23:23:14.040Z,"45 km S of Ashkāsham, Afghanistan",earthquake,6.08,3.573,0.044,164,reviewed,us,us
2024-02-16T18:24:32.351Z,1.3776,120.2538,33.777,4.5,mb,72,67,0.59,0.58,us,us7000lzqc,2024-02-16T20:14:49.040Z,"256 km N of Palu, Indonesia",earthquake,7,4.919,0.073,61,reviewed,us,us
2024-02-16T14:59:49.232Z,37.8787,143.736,10,4.8,mb,58,139,3.569,0.91,us,us7000lzlp,2024-02-16T15:16:31.040Z,"210 km ESE of Onagawa Chō, Japan",earthquake,9.2,1.903,0.07,63,reviewed,us,us
2024-02-16T14:23:33.839Z,-6.0505,130.4768,116.767,4.9,mb,57,122,1.622,0.58,us,us7000lzli,2024-02-16T14:40:29.040Z,"256 km W of Tual, Indonesia",earthquake,9.01,7.531,0.069,67,reviewed,us,us
2024-02-16T14:00:42.357Z,-19.7566,-176.9802,325.526,4.5,mb,43,76,2.18,0.66,us,us7000lzld,2024-02-16T14:59:59.040Z,"234 km NW of Houma, Tonga",earthquake,13.14,5.998,0.065,69,reviewed,us,us
2024-02-16T11:01:02.731Z,31.4812,140.6049,52.679,5.1,mb,51,130,1.762,0.52,us,us7000lzkm,2024-02-16T11:19:58.040Z,"Izu Islands, Japan region",earthquake,10.88,7.039,0.079,51,reviewed,us,us
2024-02-16T09:52:13.768Z,36.0046,139.6955,61.377,4.5,mb,51,125,1.315,0.56,us,us7000lzkh,2024-02-16T10:40:42.333Z,"3 km ESE of Shiraoka, Japan",earthquake,7.5,7.72,0.094,33,reviewed,us,us
2024-02-16T06:27:38.856Z,-19.6968,-71.018,8.799,4.8,mwr,47,144,1.011,1.24,us,us7000lzjv,2024-02-16T18:49:47.615Z,"106 km SW of Cuya, Chile",earthquake,4.86,5.378,0.059,28,reviewed,us,us
2024-02-16T06:05:38.770Z,3.1938,125.784,152.247,4.6,mb,43,135,2.879,0.41,us,us7000lzjt,2024-02-16T07:33:51.040Z,"207 km NNE of Bitung, Indonesia",earthquake,5.85,8.203,0.09,37,reviewed,us,us
2024-02-16T01:17:55.196Z,20.2484,145.3645,10,4.5,mb,41,142,22.897,0.62,us,us7000m0ki,2024-02-21T22:41:51.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,14.13,1.915,0.106,27,reviewed,us,us
